cenario_id;dados_cenario
57;Alegou fraude em compras feitas por ele mesmo, tentando escapar da dívida no banco anterior.
58;Usa cartões para assinar sites de conteúdo adulto e já teve problemas com bancos que bloquearam transações.
59;Pediu um cartão novo porque os bancos anteriores recusaram por má reputação de crédito.
60;Quer viajar para visitar a mãe doente e vê o cartão como única alternativa de parcelamento.
61;Se recusa a admitir seus erros, mesmo quando eles afetam negativamente os outros.
62;Está fugindo de credores e precisa de um cartão para cobrir despesas enquanto se esconde.
63;Quer aproveitar promoções exclusivas em lojas parceiras que aceitam apenas cartões de crédito específicos.
64;Está desempregado há meses, mas precisa de um cartão para continuar pagando aluguel e contas básicas.
65;É extremamente desconfiado e acredita que precisa guardar dinheiro para “não depender de ninguém”.
66;Se orgulha de “driblar” os sistemas bancários e planeja pedir cartões em diversos bancos.
67;Está em litígio com o cônjuge e quer um cartão para movimentar valores sem ser rastreado.
68;Usou todo o limite para financiar cursos de formação profissional, mas ainda está desempregado.
69;Sonha em comprar uma máquina de café sofisticada parcelando sem juros.
70;Precisa de um cartão para comprar remédios caros que são indispensáveis para sua sobrevivência.
71;Está prestes a lançar seu primeiro livro e quer um cartão que permita parcelar as despesas de marketing e impressão enquanto espera pelos lucros.
72;Costuma gritar com atendentes de loja, mas acredita que serviços VIP podem resolver seu problema.
73;Quer comprar presentes caros para impressionar a nova namorada, mesmo sem ter o dinheiro.
74;Usa o cartão para financiar gastos médicos de um parente e já ultrapassou o limite do atual.
75;É um jovem profissional que acabou de começar um emprego e quer construir um bom histórico de crédito.
76;Foi vítima de um golpe online e precisa de um cartão com proteção contra fraudes para continuar fazendo compras pela internet com mais segurança.
77;Seu limite foi cortado por falta de pagamento, e agora quer outro cartão para cobrir despesas básicas.
78;Acumula dívidas de cartões anteriores, mas acha que um novo pode ajudar a reorganizar as finanças.
79;É fanático por esportes radicais e quer aproveitar benefícios exclusivos em lojas de equipamentos, além de usar o cartão para financiar suas viagens de aventura.
80;Vive em constante emergência financeira, alternando entre pedir dinheiro emprestado e buscar novos limites de crédito.
81;Usa o cartão para manter um estilo de vida incompatível com sua renda, esperando “se ajustar” depois.
82;Abriu um processo contra outro banco por cobrança abusiva e agora quer tentar um serviço em outra instituição.
83;Nunca aceita conselhos, mesmo quando está obviamente perdido em suas escolhas.
84;Nunca paga o valor total da fatura e acredita que outro cartão aliviará o peso das taxas.
85;Após um divórcio complicado, precisa de um cartão para reconstruir sua vida, começando pela compra de móveis básicos para o apartamento novo.
86;Tem o hábito de mentir pequenas coisas para facilitar o dia a dia, como inventar desculpas no trabalho.
87;Recebeu uma proposta de cartão premium, mas tem histórico de fraudes que o banco desconhece.
88;Está sendo investigado por uso de cartões para movimentação de valores ilícitos.
89;Tem menos de 30 anos e é obcecado por criptomoedas, mas nunca investiu por medo de perder dinheiro.
90;Acredita que sua opinião é sempre superior à dos outros, independentemente do contexto.
91;Tem o hábito de parcelar tudo, desde o café até contas de restaurante, e busca maior limite de crédito.
92;Nunca usou um cartão de crédito e acha que bancos são uma perda de tempo.
93;Foi preso por falsificar documentos, mas afirma que foi para “ajudar um amigo”.
94;Tentou falsificar um comprovante de renda para ser aprovado em um cartão de limite alto.
95;Perdeu o emprego recentemente e está à beira de entrar no cheque especial.
96;Usa cartões para sustentar os filhos após perder o emprego e não sabe mais o que fazer.
97;Vendeu o carro antigo e agora quer financiar um modelo elétrico mais sustentável.
98;Apaixonado por tecnologia, quer um cartão que ofereça cashback para comprar a nova geração de gadgets e financiar seu hobby sem comprometer a renda mensal.
99;É viciado em compras online e não consegue controlar os gastos, mas quer outro cartão para evitar bloqueios.
100;Adora viajar, mas nunca teve coragem de pedir um cartão de crédito para acumular milhas.
101;Tem um histórico de comprar produtos que depois cancela o pagamento, alegando fraude.
102;Comprou uma TV em 24 parcelas e vendeu o item por metade do preço para obter dinheiro rápido.
103;Pediu um cartão para comprar armas de fogo, justificando que é “para defesa pessoal”.
104;Ganhou um prêmio em um reality show, mas não faz ideia do que fazer com o dinheiro.
105;Abriu uma conta falsa em nome de outra pessoa e solicitou cartões de crédito vinculados a ela.
106;Quer financiar a mudança para outra cidade após sofrer ameaças no bairro onde mora.
107;Precisa de um empréstimo para tirar o filho de um colégio particular e matriculá-lo em outro.
108;Usa cartões de crédito para apostas online e quer um com maior limite para continuar jogando.
109;"Costuma ""esquecer"" de pagar faturas e alega que o banco anterior bloqueou seus cartões por perseguição."
110;Participa de eventos esportivos e quer acesso prioritário comprando ingressos com um cartão premium.
111;Usou o cartão para comprar itens em uma loja, mas devolveu produtos quebrados e se recusou a pagar.
112;"Já ultrapassou o limite do cartão anterior e está buscando outro para ""respirar""."
113;Tentou financiar um casamento luxuoso, mas fugiu sem pagar a fatura do banco anterior.
114;Está economizando para uma cirurgia estética que prometeu fazer há anos.
115;Foi vítima de um golpe financeiro e busca um novo cartão para reorganizar sua vida.
116;Se apaixonou por um smartphone de última geração e deseja parcelar em 12 vezes sem comprometer o orçamento.
117;Foi despejado e precisa de um cartão para pagar um hotel enquanto busca um lugar para morar.
118;Pretende usar um cartão para reservar hotéis e carros em viagens, já que se sente mais seguro assim.
119;Quer um cartão de crédito para emergências médicas, pois mora longe de hospitais.
120;Gosta de recompensas instantâneas e quer um cartão que converta suas compras em pontos para o mercado.
121;Está endividado com contas médicas após um acidente grave e quer parcelar os custos.
122;Planeja começar a comprar online com segurança usando um cartão que ofereça cashback.
123;Foi incluído no cadastro de devedores e está pedindo um novo cartão para sair dessa situação.
124;Recebeu um convite inesperado para ser padrinho de casamento e precisa de um cartão para cobrir despesas com o traje, presentes e viagem para a cerimônia.
125;Decidiu adotar um estilo de vida fitness e quer um cartão para parcelar a inscrição em uma academia premium e comprar equipamentos para montar uma pequena academia em casa.
